single-href,title,price,image-src,rating
https://www.flipkart.com/asus-rog-strix-g16-90whrs-battery-intel-core-i7-13th-gen-13650hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4070-140-w-g614ji-bg711ws-gaming-laptop/p/itm98122c2e979be?pid=COMGZW3FAX5CT8RZ&lid=LSTCOMGZW3FAX5CT8RZD58VRL&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=9b1f4285-2a09-47df-bdce-e7e781655a21.COMGZW3FAX5CT8RZ.SEARCH&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS ROG Strix G16, 90WHrs Battery Intel Core i7 13th Gen 13650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070/140 W) G614JI-BG711WS Gaming Laptop  (16 Inch, Eclipse Gray, 2.5 Kg)",149590,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/s/d/d/-original-imahcd9j7makzgwk.jpeg?q=70&crop=false,5
https://www.flipkart.com/asus-vivobook-16x-creator-intel-core-i7-12th-gen-12700h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-k3605zc-rp628ws-gaming-laptop/p/itme304c469918e6?pid=COMH3J9Y3YDSZGMM&lid=LSTCOMH3J9Y3YDSZGMMDFHS5O&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=9b1f4285-2a09-47df-bdce-e7e781655a21.COMH3J9Y3YDSZGMM.SEARCH&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS Vivobook 16X for Creator, Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) K3605ZC-RP628WS Gaming Laptop  (16 Inch, Cool Silver, 1.80 Kg, With MS Office)",74500,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/r/i/r/-original-imahcd9mbyw9dhuw.jpeg?q=70&crop=false,4.2
https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-9-octa-core-8945h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-fa507uv-lp137ws-laptop/p/itmc24095b76dd1c?pid=COMH4B5P3BHFFHC8&lid=LSTCOMH4B5P3BHFFHC8WXIY5N&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=en_lIfvDq5oH27y8UrAD43FxthFJVAdwmosBdMm8RWgqwWiryNmMkb5lF4cT0FpTuBOYhelExi22d6-U3WjPIVBZ-I7uWi7bi3WLqk6JF-UYDE%3D&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS TUF Gaming A15 AMD Ryzen 9 Octa Core 8945H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060) FA507UV-LP137WS Gaming Laptop  (15.6 Inch, Mecha Gray, 2.20 Kg, With MS Office)",124990,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/t/r/q/-original-imahcd9nrgzpynhy.jpeg?q=70&crop=false,5
https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-4060-fa507nvr-lp104ws-laptop/p/itmc6ca6f861b082?pid=COMH4Y6KP3YYWBD5&lid=LSTCOMH4Y6KP3YYWBD5NP9YQP&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=en_lIfvDq5oH27y8UrAD43FxthFJVAdwmosBdMm8RWgqwXHd1dIvlf5Amk4wVCU8747FxbzGT0OUS1BpbiHagEY6WVkv0XZFiOX7bbXdlao_f8%3D&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060) FA507NVR-LP104WS Gaming Laptop  (15.6 Inch, Mecha Gray, 2.20 Kg, With MS Office)",94990,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/m/z/r/-original-imahcd9jabh6zzht.jpeg?q=70&crop=false,4.6
https://www.flipkart.com/asus-rog-strix-g16-intel-core-i5-13th-gen-13450hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3050-g614jj-n3088ws-gaming-laptop/p/itm8c3acca540452?pid=COMGSGKJTTVXHAJC&lid=LSTCOMGSGKJTTVXHAJCDSDTSG&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=9b1f4285-2a09-47df-bdce-e7e781655a21.COMGSGKJTTVXHAJC.SEARCH&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS ROG Strix G16 Intel Core i5 13th Gen 13450HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) G614JJ-N3088WS Gaming Laptop  (16 Inch, Gray, 2.50 Kg, With MS Office)",96990,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/y/6/s/-original-imahcyp7ysm2sgru.jpeg?q=70&crop=false,4.2
https://www.flipkart.com/asus-rog-strix-g15-amd-ryzen-7-octa-core-6800hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-g513rc-hn063w-gaming-laptop/p/itma1a8d92315681?pid=COMGCYCEPDZFZB9S&lid=LSTCOMGCYCEPDZFZB9SFC9MNY&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&spotlightTagId=default_TrendingId_6bo%2Fb5g&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=9b1f4285-2a09-47df-bdce-e7e781655a21.COMGCYCEPDZFZB9S.SEARCH&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) G513RC-HN063W Gaming Laptop  (15.6 Inch, Electro Punk, 2.10 kg)",82000,https://rukminim2.flixcart.com/image/416/416/l0vbukw0/computer/t/z/j/-original-imagckcfkvspp9ga.jpeg?q=70&crop=false,3.8
https://www.flipkart.com/asus-tuf-gaming-f17-ai-powered-intel-core-i5-11th-gen-11400h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-70-tgp-fx706hf-hx018w-laptop/p/itm5b135cad5c8a9?pid=COMGZKHQVMNZXEAH&lid=LSTCOMGZKHQVMNZXEAHP2TTIR&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=9b1f4285-2a09-47df-bdce-e7e781655a21.COMGZKHQVMNZXEAH.SEARCH&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/70 TGP) FX706HF-HX018W Gaming Laptop  (17.3 Inch, Graphite Black, 2.60 kg)",65000,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/1/w/o/-original-imahcd9pumvupjfx.jpeg?q=70&crop=false,4.3
https://www.flipkart.com/asus-rog-strix-g16-intel-core-i7-13th-gen-13650hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-165-hz-g614ju-n4200ws-gaming-laptop/p/itmba9dc9051be27?pid=COMH9499GG8CVCXM&lid=LSTCOMH9499GG8CVCXMKCI1GP&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=9b1f4285-2a09-47df-bdce-e7e781655a21.COMH9499GG8CVCXM.SEARCH&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS ROG Strix G16 Intel Core i7 13th Gen 13650HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050/165 Hz) G614JU-N4200WS Gaming Laptop  (16 inch, Eclipse Gray, 2.5 Kg, With MS Office)",113990,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/o/g/y/-original-imahcd9djjbr5xzs.jpeg?q=70&crop=false,4.5
https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn259w-laptop/p/itm10514ecd2a794?pid=COMHFT2NEWGYDWAV&lid=LSTCOMHFT2NEWGYDWAVPS8GCS&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=en_lIfvDq5oH27y8UrAD43FxthFJVAdwmosBdMm8RWgqwVw9HbY24PA8e_pcPku5Mdi-gjP_ZLy5WJXhgc1TXHf2EKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) FA566NFR-HN259W Gaming Laptop  (15.6 inch, Graphite Black, 2.30 Kg)",56990,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/i/t/b/-original-imahcd999rpcg3cj.jpeg?q=70&crop=false,4.3
https://www.flipkart.com/asus-tuf-gaming-f17-ai-powered-intel-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-70-w-fx706hf-ny040w-laptop/p/itm5b135cad5c8a9?pid=COMHY74JXH3KZRWM&lid=LSTCOMHY74JXH3KZRWMLLMJRL&marketplace=FLIPKART&q=asus+gaming+laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_ps&fm=organic&iid=9b1f4285-2a09-47df-bdce-e7e781655a21.COMHY74JXH3KZRWM.SEARCH&ppt=None&ppn=None&ssid=m6dt3l6bc00000001748240752255&qH=a2be8fc02c6f9d00,"ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/70 W) FX706HF-NY040W Gaming Laptop  (17.3 Inch, Graphite Black, 2.60 kg)",50990,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/3/k/l/-original-imahcd9rrg75ywww.jpeg?q=70&crop=false,4.3
